"Glottocode","Family_GLOT_Lv1","Genus","Area_GLOT","Classifiers","Gender","NounClass","dens_lang","dens_fam","dist_river","dist_ocean","elev","elevSD","n_warm_month_2ad","temp_mean_2ad","per_wetqu_2ad","per_cv_2ad","temp_warmqu_2ad","gras_2ad","crop_2ad","pop_2ad"
"ngam1268","cent2225","Bongo-Bagirmi","Africa",FALSE,FALSE,FALSE,0.0357142857142857,0.285714285714286,0.0126771004246322,0.351884616928919,0.0736558449890928,0.0392381630908871,1,0.93652561247216,0.223603542234332,0.582417582417582,0.794084186575654,0.690250620747231,0.0664368952643142,0.0107294786183293
"mbay1241","cent2225","Bongo-Bagirmi","Africa",FALSE,FALSE,FALSE,0.0119047619047619,0.142857142857143,0.0630080416042149,0.413560029275849,0.0675832229357152,0.0221736288793582,1,0.944320712694877,0.235865122615804,0.620879120879121,0.80773606370876,0.701818024951692,0.060474694912662,0.0243482729115902
"lele1276","afro1255","East Chadic","Africa",FALSE,TRUE,FALSE,0.0119047619047619,0.142857142857143,0.0630080416042149,0.413560029275849,0.0675832229357152,0.0221736288793582,1,0.944320712694877,0.235865122615804,0.620879120879121,0.80773606370876,0.701818024951692,0.060474694912662,0.0243482729115902
"niel1243","atla1278","Adamawa","Africa",FALSE,FALSE,FALSE,0,0,0.107280880556529,0.469973198668373,0.0660903700142598,0.0179192278194486,1,0.948775055679287,0.222241144414169,0.582417582417582,0.812286689419795,0.625382059294841,0.0268911976686146,0.00717782407321292
"sara1321","cent2225",NA,"Africa",FALSE,FALSE,FALSE,0,0,0.108600999021334,0.542847467235993,0.0709340090330253,0.0241208449871024,1,0.942093541202673,0.226158038147139,0.543956043956044,0.803185437997725,0.247277530155564,0,0.000999274567065345
"sout2832","nilo1247",NA,"Africa",FALSE,FALSE,FALSE,0,0,0.0801388482978461,0.638388015689591,0.0776970303793762,0.0176712236818215,1,0.944320712694877,0.178644414168937,0.576923076923077,0.817974971558589,0.76281555972559,0.0250846822621931,0.0051313033611726
"nuer1246","nilo1247","Nilotic","Africa",FALSE,FALSE,FALSE,0,0,0.0253363829054739,0.464004793723003,0.0720906989479544,0.000860293385365529,1,0.957683741648107,0.15633514986376,0.527472527472527,0.819112627986348,0.96425993100412,0.0560788051887078,0.00704466527780361
"uduk1239","koma1264",NA,"Africa",FALSE,FALSE,FALSE,0.0714285714285714,0.285714285714286,0.0322119063064952,0.402431343166927,0.286707283351075,0.273800543249997,1,0.802895322939866,0.22258174386921,0.423076923076923,0.675767918088737,0.224251836231845,0.0929945805723418,0.0258181116422686
"hozo1236","maoo1243",NA,"Africa",FALSE,TRUE,FALSE,0.0714285714285714,0.285714285714286,0.0322119063064952,0.402431343166927,0.286707283351075,0.273800543249997,1,0.802895322939866,0.22258174386921,0.423076923076923,0.675767918088737,0.224251836231845,0.0929945805723418,0.0258181116422686
"anfi1235","gong1255",NA,"Africa",FALSE,FALSE,FALSE,0.0714285714285714,0.285714285714286,0.0322119063064952,0.402431343166927,0.286707283351075,0.273800543249997,1,0.802895322939866,0.22258174386921,0.423076923076923,0.675767918088737,0.224251836231845,0.0929945805723418,0.0258181116422686
"komo1258","koma1264","Koman","Africa",FALSE,TRUE,FALSE,0.0714285714285714,0.285714285714286,0.0322119063064952,0.402431343166927,0.286707283351075,0.273800543249997,1,0.802895322939866,0.22258174386921,0.423076923076923,0.675767918088737,0.224251836231845,0.0929945805723418,0.0258181116422686
"opuu1239","koma1264",NA,"Africa",FALSE,TRUE,FALSE,0.0714285714285714,0.285714285714286,0.0322119063064952,0.402431343166927,0.286707283351075,0.273800543249997,1,0.802895322939866,0.22258174386921,0.423076923076923,0.675767918088737,0.224251836231845,0.0929945805723418,0.0258181116422686
"bamb1262","maoo1243",NA,"Africa",FALSE,FALSE,FALSE,0.0714285714285714,0.285714285714286,0.0322119063064952,0.402431343166927,0.286707283351075,0.273800543249997,1,0.802895322939866,0.22258174386921,0.423076923076923,0.675767918088737,0.224251836231845,0.0929945805723418,0.0258181116422686
"kwam1249","koma1264",NA,"Africa",FALSE,TRUE,FALSE,0.0714285714285714,0.285714285714286,0.0322119063064952,0.402431343166927,0.286707283351075,0.273800543249997,1,0.802895322939866,0.22258174386921,0.423076923076923,0.675767918088737,0.224251836231845,0.0929945805723418,0.0258181116422686
"west2721","afro1255","Eastern Cushitic","Africa",FALSE,TRUE,FALSE,0,0,0.0253363829054739,0.319575168123577,0.330813315669714,0.164263962947016,1,0.78173719376392,0.326975476839237,0.475274725274725,0.650739476678043,0.335612049791731,0.0916676447957014,0.0529445136809211
"wola1253","afro1255",NA,"Africa",FALSE,TRUE,FALSE,0.0357142857142857,0,0.0180386361141527,0.252386324187249,0.453509198395816,0.192950874988078,1,0.719376391982183,0.213385558583106,0.494505494505495,0.59613196814562,0.0605756677235546,0.407317827913313,0.112894105392385
